"Sex","Age","Function","Share_1","Share_2","Share_3","Proact_1_R","Proact_2_R","Proact_3_R","Integ_1_R","Integ_2_R","Integ_3_R","Sharing_Total","Proact_Total","Integrit_Total","AnxEm","HappEm","DejEm","AngerEm"
"Female",">30 y.","Employe",1,1,4,5,5,5,5,2,5,-0.697492291912685,1.74102688166481,-0.988050391378728,1,3.43,1,1.25
"Female",">30 y.","Employe",1,2,4,3,4,4,4,2,4,0.241517397846243,0.99716119650713,0.193189281151732,2.38,3,1.2,1.75
"Men","20-25 y.","Employe",2,1,3,5,4,5,4,4,5,0.711022242725707,0.501249004047008,-0.692740030281457,1,3.71,1,1.5
"Men","<20 y.","Employe",3,2,4,4,5,5,5,3,5,0.00676497540651112,0.501249004047008,-0.102121079945539,1.25,3.29,1,1.25
"Female","20-25 y.","Employe",3,2,2,4,4,5,5,4,5,-0.227987447033221,-1.23443933034258,-0.397431441042809,1.5,3.14,1,2
"Men","<20 y.","Employe",1,3,3,5,5,5,3,3,5,-0.932244714352417,0.99716119650713,-0.988050391378728,1,3.86,1,1.5
"Female","20-25 y.","Employe",2,2,4,5,4,5,4,2,5,-0.227987447033221,1.49307165327892,-0.397431441042809,1,3,1.4,1.5
"Female",">30 y.","Employe",3,2,2,3,3,4,5,5,5,1.65003193248464,-0.986484101956691,-0.102121079945539,1.75,3.43,1.2,1.75
"Female",">30 y.","Employe",2,3,3,4,5,4,4,3,5,0.241517397846243,1.24511642489302,-0.102121079945539,1.38,3.57,1.6,1.5
"Female","20-25 y.","Employe",2,3,3,4,5,5,4,3,3,0.00676497540651112,-0.242616681110674,0.48849787039038,1.63,2.86,1.4,1.5
"Female","25-30 y.","Employe",2,1,2,4,3,5,5,3,5,-0.227987447033221,0.253293775661113,-0.397431441042809,1.75,2.14,1,1.25
"Female","25-30 y.","Employe",2,1,4,5,5,5,5,3,5,0.00676497540651112,0.501249004047008,-0.988050391378728,2.75,2.86,2.6,1
"Female","25-30 y.","Employe",2,4,1,4,5,5,2,5,5,0.241517397846243,-2.97012766473218,0.193189281151732,1.5,2.14,1.8,1.5
"Men","<20 y.","Employe",2,1,2,4,5,5,5,4,5,0.00676497540651112,-0.986484101956691,-0.988050391378728,1.5,3.14,1,1.25
"Female",">30 y.","Employe",1,4,1,4,5,5,2,5,5,0.945774665165439,-2.72217243634628,-0.102121079945539,1.63,2,2,1
"Female","<20 y.","Employe",1,1,3,5,4,5,5,3,5,-0.697492291912685,0.00533854727521981,-0.988050391378728,1,3,1,1
"Female",">30 y.","Employe",1,1,4,5,5,5,5,2,5,-0.227987447033221,0.99716119650713,-0.692740030281457,2.13,3.71,1,1.25
"Female","<20 y.","Employe",1,2,4,4,4,5,5,3,5,-0.462739869472953,0.501249004047008,-0.988050391378728,1.13,3.71,1.4,1.25
"Female","20-25 y.","Employe",2,1,3,4,4,5,5,3,5,-0.462739869472953,0.253293775661113,-0.692740030281457,1.25,3.43,1.4,1
"Female","25-30 y.","Employe",3,2,3,2,2,5,5,3,5,2.1195367773641,0.749204232432901,-0.988050391378728,2,2.43,1.2,1.5
"Female","20-25 y.","Employe",1,1,4,3,4,5,5,2,5,0.241517397846243,1.74102688166481,-0.692740030281457,1,3.86,1.4,1.25
"Men","<20 y.","Employe",2,1,3,4,5,5,5,3,5,-0.697492291912685,0.00533854727521981,-0.988050391378728,1,2.71,1,1.25
"Female",">30 y.","Employe",2,2,3,5,4,4,3,2,5,-0.462739869472953,0.253293775661113,0.48849787039038,1.88,2.86,1.6,2.5
"Female","20-25 y.","Employe",2,1,3,4,5,5,5,3,5,0.00676497540651112,0.00533854727521981,-0.988050391378728,1.5,3.14,1.2,1.5
"Female",">30 y.","Employe",1,2,2,5,5,4,5,2,5,-0.932244714352417,1.24511642489302,0.193189281151732,1.38,3.71,1.2,2
"Female",">30 y.","Employe",2,1,2,4,4,5,4,4,4,0.00676497540651112,-0.986484101956691,0.193189281151732,1.88,3,1.4,1.25
"Female","25-30 y.","Employe",1,1,1,4,5,5,5,5,3,-0.227987447033221,-2.97012766473218,-0.397431441042809,1.5,2.14,2.2,1
"Men","20-25 y.","Employe",1,1,3,4,5,4,5,3,5,-1.16699713679215,0.00533854727521981,-0.692740030281457,1.63,3,1.2,1.25
"Men","20-25 y.","Employe",2,2,2,4,5,5,4,4,5,0.241517397846243,-0.738527137882462,-0.988050391378728,1.5,2.29,1,1.5
"Men","<20 y.","Employe",2,2,3,4,4,5,2,5,5,0.945774665165439,-1.73034978711437,1.66973754292084,1.25,3.14,1.4,1.5
"Female","25-30 y.","Employe",2,1,3,4,5,5,5,3,5,-0.227987447033221,1.24511642489302,-0.692740030281457,1.5,3.29,1.2,2
"Female",">30 y.","Employe",2,2,3,5,5,5,5,2,5,-0.697492291912685,1.49307165327892,-0.988050391378728,1,4,1.2,1
"Female","20-25 y.","Employe",1,2,4,4,4,4,5,3,4,0.476269820285975,0.253293775661113,-0.102121079945539,1.75,1.29,2.2,2.25
"Female","<20 y.","Employe",1,1,1,4,5,3,5,5,4,-0.227987447033221,-2.72217243634628,0.193189281151732,2.25,3.29,1,1.75
"Female","20-25 y.","Employe",1,1,2,5,4,4,5,2,4,-0.932244714352417,0.253293775661113,0.48849787039038,2,2.71,1,1.75
"Female",">30 y.","Employe",1,2,4,5,5,5,5,2,5,-0.932244714352417,0.99716119650713,-0.692740030281457,2,2.57,1.6,2.25
"Men","20-25 y.","Employe",1,4,3,5,3,5,5,3,5,-0.932244714352417,0.00533854727521981,-0.988050391378728,1,3.86,1,1
"Men","20-25 y.","Employe",2,2,3,4,5,5,5,4,5,-0.697492291912685,-0.986484101956691,-0.692740030281457,1.88,2.29,1.6,1.75
"Female","20-25 y.","Employe",1,1,4,5,5,5,5,3,5,-1.40174955923188,1.49307165327892,-0.988050391378728,1.25,3.86,1,1
"Female",">30 y.","Employe",1,1,3,5,5,5,4,2,5,-0.932244714352417,0.749204232432901,-0.988050391378728,1,2.86,1,1.5
"Female","25-30 y.","Employe",1,1,4,5,5,4,5,2,5,-0.697492291912685,1.74102688166481,-0.102121079945539,1.5,3.29,1.2,1.75
"Female",">30 y.","Employe",1,1,3,5,5,5,5,3,4,-0.932244714352417,0.749204232432901,-0.397431441042809,1.13,3.43,1,1.25
"Female",">30 y.","Employe",1,1,3,5,5,5,3,3,5,-0.227987447033221,0.00533854727521981,-0.988050391378728,1,3.57,1.2,1
"Female","20-25 y.","Employe",1,1,4,4,4,5,4,3,5,1.18052708760517,-0.986484101956691,-0.397431441042809,1.13,2.86,1.8,1.75
"Men","25-30 y.","Employe",4,1,3,3,4,5,5,3,4,0.476269820285975,0.501249004047008,-0.102121079945539,1.63,2.57,1.8,2
"Female","25-30 y.","Employe",1,2,3,5,5,5,5,3,5,-0.697492291912685,0.99716119650713,-0.988050391378728,1,3,1.4,1.25
"Female","25-30 y.","Employe",2,2,2,4,5,5,5,4,5,0.00676497540651112,-1.48239455872848,-0.988050391378728,1.88,2.57,1.6,2.25
"Men","20-25 y.","Employe",1,2,3,4,5,4,5,3,4,0.241517397846243,0.00533854727521981,-0.102121079945539,1.88,2.71,1.8,1.75
"Men","<20 y.","Employe",2,3,4,5,3,5,4,4,5,0.476269820285975,-0.490571909496568,-0.102121079945539,1.25,2.71,1.2,1.5
"Men","20-25 y.","Employe",2,1,4,4,5,5,5,3,5,0.241517397846243,-1.23443933034258,-0.102121079945539,1,2.86,1.4,1
"Female","25-30 y.","Employe",2,1,3,4,4,5,5,3,5,0.241517397846243,0.253293775661113,-0.692740030281457,1.63,2.86,1,1.25
"Female","<20 y.","Employe",1,1,3,5,5,5,5,2,5,-1.40174955923188,0.00533854727521981,-0.988050391378728,1.38,3,1,1
"Female","20-25 y.","Employe",1,2,3,5,5,5,5,2,5,-0.932244714352417,0.99716119650713,-0.692740030281457,1.5,3,1.2,1.75
"Men",">30 y.","Employe",2,2,3,4,5,4,4,3,4,-0.227987447033221,-0.242616681110674,-0.102121079945539,1.5,3,1.4,1.75
"Female","20-25 y.","Employe",4,1,2,2,5,5,5,4,4,0.945774665165439,-1.97830501550027,0.193189281151732,1.63,3,1,2
"Men",">30 y.","Employe",2,1,3,5,5,5,5,2,5,-0.462739869472953,0.749204232432901,-0.988050391378728,1.25,3,1.4,1.25
"Female",">30 y.","Employe",1,2,3,4,5,4,3,3,4,0.00676497540651112,0.00533854727521981,0.48849787039038,1.75,2.43,2,1.75
"Female","25-30 y.","Employe",1,2,3,5,5,5,5,3,5,-0.697492291912685,0.00533854727521981,-0.692740030281457,1.38,2.86,1,1.25
"Female","25-30 y.","Employe",2,1,4,5,5,5,5,5,5,-0.462739869472953,0.99716119650713,-0.692740030281457,1.13,3.71,1.2,1.5
"Men",">30 y.","Employe",3,1,2,4,4,5,4,4,5,0.476269820285975,-0.986484101956691,0.783808231487651,1.38,2.29,1.8,1.5
"Men","25-30 y.","Employe",2,2,3,4,4,5,5,3,5,0.711022242725707,0.00533854727521981,-0.692740030281457,1.63,3.43,1,1.25
"Men","20-25 y.","Employe",1,1,1,4,4,4,5,4,5,0.476269820285975,-1.97830501550027,0.48849787039038,2.13,2,2,1.75
"Female","20-25 y.","Employe",2,2,2,5,5,5,4,3,4,-0.697492291912685,-0.738527137882462,0.193189281151732,1.13,3.14,1.6,1.25
"Female","20-25 y.","Employe",1,1,4,5,5,5,5,2,5,-1.16699713679215,1.74102688166481,-0.988050391378728,1.38,3.86,1.2,1.25
"Female","25-30 y.","Employe",1,1,4,5,5,5,5,2,5,-0.697492291912685,1.74102688166481,-0.988050391378728,1,3,1.4,1.5
"Men",">30 y.","Employe",2,1,3,5,5,5,5,3,5,-0.462739869472953,-0.242616681110674,-0.692740030281457,2,2.57,1.8,1.5
"Female","<20 y.","Employe",2,3,4,3,5,5,5,2,5,0.476269820285975,0.99716119650713,-0.988050391378728,1.13,2.57,1.8,2
"Female","25-30 y.","Employe",2,1,4,5,5,5,5,3,5,-1.40174955923188,0.501249004047008,-0.988050391378728,1.13,3.71,1.2,1
"Female",">30 y.","Employe",2,1,3,5,4,4,5,4,5,-0.932244714352417,-0.242616681110674,-0.692740030281457,1.25,2.86,1,2
"Female","<20 y.","Employe",1,1,1,5,4,3,3,5,4,0.476269820285975,-1.97830501550027,1.07911859258492,1.75,2.86,1.8,1
"Female",">30 y.","Employe",1,1,4,4,5,5,5,2,5,-0.227987447033221,1.74102688166481,-0.988050391378728,1.38,3.86,1.2,1.25
"Female",">30 y.","Employe",2,1,3,5,4,5,4,3,5,0.241517397846243,0.501249004047008,-0.397431441042809,1.75,2.29,1.8,1.75
"Men",">30 y.","Employe",1,1,2,4,5,5,5,4,5,-0.697492291912685,-0.242616681110674,-0.988050391378728,1,3.43,1.4,1.5
"Female","20-25 y.","Employe",1,1,4,5,5,5,5,2,5,-1.40174955923188,1.74102688166481,-0.988050391378728,1.13,3.29,1,1.25
"Men",">30 y.","Employe",1,1,3,5,4,5,5,2,4,-0.227987447033221,0.749204232432901,-0.397431441042809,1.13,3,1.2,1.75
"Female","25-30 y.","Employe",2,2,3,5,5,5,2,2,5,-0.462739869472953,1.49307165327892,-0.397431441042809,1.5,3.86,1.6,2
"Female","20-25 y.","Employe",1,1,3,5,4,5,5,2,5,-0.697492291912685,0.749204232432901,-0.102121079945539,1.25,3.71,1,2
"Men",">30 y.","Employe",2,1,3,5,4,5,5,2,5,-0.697492291912685,0.253293775661113,-0.988050391378728,1.25,3.43,1,1.25
"Female","25-30 y.","Employe",2,2,1,4,4,5,5,4,5,0.00676497540651112,-1.97830501550027,-0.102121079945539,2.75,2.29,1.6,1.75
"Female","20-25 y.","Employe",2,2,3,5,5,5,5,2,5,-0.932244714352417,0.501249004047008,-0.692740030281457,1.5,3.43,1.2,1.5
"Female","25-30 y.","Employe",1,1,3,5,4,5,5,3,5,0.241517397846243,-0.738527137882462,-0.692740030281457,2,2.29,2,1.75
"Men","20-25 y.","Employe",1,2,2,5,5,4,4,2,5,0.00676497540651112,0.00533854727521981,-0.102121079945539,2,3,1.6,1.75
"Female","25-30 y.","Employe",2,2,2,4,4,4,5,4,4,0.241517397846243,-1.73034978711437,0.48849787039038,3.13,2,2.2,2.25
"Female","25-30 y.","Employe",1,2,4,4,4,4,5,3,4,0.476269820285975,0.253293775661113,-0.102121079945539,1.75,1.29,2.2,2.25
"Female","20-25 y.","Employe",2,1,3,5,4,5,4,4,5,-0.227987447033221,-0.242616681110674,-0.692740030281457,1.63,2.29,1.4,1.75
"Female",">30 y.","Employe",2,2,3,5,4,5,4,3,5,-0.227987447033221,-0.242616681110674,-0.692740030281457,1.5,2.29,1.6,1.75
"Female","25-30 y.","Employe",1,2,3,5,4,5,4,3,5,-0.227987447033221,-0.490571909496568,-0.692740030281457,1.25,2.57,2,1.5
"Men","20-25 y.","Employe",1,1,3,5,5,5,4,4,5,0.00676497540651112,-0.490571909496568,-0.692740030281457,1.75,2.71,1.8,1.75
"Female",">30 y.","Employe",2,1,4,5,5,5,4,4,4,0.00676497540651112,0.253293775661113,-0.102121079945539,1.75,2.43,1.4,1.5
"Female","25-30 y.","Employe",1,1,4,5,5,4,5,4,4,-0.697492291912685,0.253293775661113,-0.102121079945539,1.63,2.71,1.6,1.75
"Female",">30 y.","Employe",1,1,3,3,5,5,5,3,5,0.241517397846243,-0.242616681110674,-0.988050391378728,1.5,3,2,1
"Female",">30 y.","Employe",2,1,1,5,5,5,4,3,5,-0.227987447033221,-0.490571909496568,-0.102121079945539,1.5,2.29,1.4,1.5
"Men",">30 y.","Employe",1,1,4,4,4,5,4,2,5,-0.227987447033221,-0.242616681110674,-0.692740030281457,1.5,2.86,1.6,1.75
"Female","20-25 y.","Employe",1,2,3,5,4,4,5,2,4,0.241517397846243,-0.242616681110674,0.193189281151732,1.38,3.14,1.4,1.5
"Female",">30 y.","Employe",2,2,2,5,5,5,5,3,5,-0.462739869472953,0.00533854727521981,-0.397431441042809,1.38,2.57,1.6,1.5
"Men","25-30 y.","Employe",2,2,4,5,5,5,3,3,4,0.241517397846243,0.501249004047008,0.193189281151732,1.38,3,1.6,1.5
"Female","20-25 y.","Leader",1,2,4,5,4,5,5,2,5,-0.932244714352417,1.74102688166481,-0.102121079945539,1.88,3.29,1.4,1.75
"Men","20-25 y.","Leader",2,1,3,4,4,5,5,4,5,-0.227987447033221,-0.490571909496568,-0.692740030281457,1.63,2.71,1.8,1.5
"Female","25-30 y.","Leader",1,2,4,5,5,5,5,2,5,-0.697492291912685,1.74102688166481,-0.397431441042809,1.38,3,1.4,1.5
"Female","20-25 y.","Leader",1,2,3,5,5,5,5,3,5,-1.40174955923188,1.24511642489302,-0.988050391378728,1.13,3.86,1.2,1.25
"Men","25-30 y.","Leader",1,1,4,5,5,5,5,2,5,-1.40174955923188,1.74102688166481,-0.988050391378728,1.25,3.71,1,1
"Female","20-25 y.","Leader",1,2,3,5,5,5,5,3,5,-1.40174955923188,1.24511642489302,-0.988050391378728,1.25,3.86,1.2,1.25
"Female","20-25 y.","Leader",2,2,2,4,5,5,4,3,4,0.00676497540651112,-0.490571909496568,1.07911859258492,3,2,2.2,3
"Female","20-25 y.","Leader",1,2,2,4,4,4,5,2,4,-0.227987447033221,0.00533854727521981,1.07911859258492,1.38,3.29,1.2,2.25
"Men","20-25 y.","Leader",1,2,4,5,5,4,4,2,5,-0.227987447033221,1.24511642489302,0.783808231487651,1.25,3,1.2,1.75
"Men","20-25 y.","Leader",1,2,4,5,4,5,4,2,5,-0.932244714352417,0.501249004047008,-0.692740030281457,1.38,3.29,1.2,1
"Men","20-25 y.","Leader",2,1,2,3,5,5,4,3,5,0.711022242725707,-1.73034978711437,-0.397431441042809,1.88,2,1.4,2
"Men","20-25 y.","Leader",1,2,3,5,4,5,5,2,4,0.241517397846243,1.24511642489302,-0.102121079945539,2.63,1.86,1.6,2.25
"Men","25-30 y.","Leader",2,1,3,4,4,5,5,3,5,-0.227987447033221,0.749204232432901,-0.397431441042809,1.63,2.57,1,1.75
"Men","20-25 y.","Leader",1,3,3,5,5,5,5,2,5,-1.16699713679215,0.501249004047008,-0.102121079945539,1.5,2.57,1.2,1.25
"Female","20-25 y.","Leader",2,2,3,5,5,5,5,4,5,-1.16699713679215,-0.242616681110674,-0.988050391378728,1.38,2.57,1.2,1.5
"Men","25-30 y.","Leader",1,1,3,5,4,5,4,2,5,-0.932244714352417,0.749204232432901,-0.397431441042809,1.25,2.86,1.2,1.75
"Female","20-25 y.","Leader",1,1,3,5,5,4,5,2,5,-1.16699713679215,1.49307165327892,-0.397431441042809,1,2.57,1.2,1.25
"Female","20-25 y.","Leader",2,1,3,5,5,5,5,2,5,-1.16699713679215,0.253293775661113,-0.988050391378728,1.63,2.14,1.6,1.75
"Female","20-25 y.","Leader",1,1,3,4,4,5,5,2,4,-0.227987447033221,-0.242616681110674,-0.102121079945539,2,2,1.4,2
"Female","20-25 y.","Leader",1,1,3,5,4,5,5,2,5,-0.462739869472953,1.49307165327892,-0.692740030281457,1.63,3.57,1,1.25
"Female","20-25 y.","Leader",1,2,4,5,4,5,3,3,5,-0.932244714352417,0.99716119650713,-0.692740030281457,1.5,3.71,1,1.75
"Female","20-25 y.","Leader",1,2,2,4,5,5,5,3,5,0.00676497540651112,-0.490571909496568,-0.988050391378728,1.5,3,1.2,1.5
"Female","20-25 y.","Leader",1,1,4,5,5,5,5,5,5,-1.40174955923188,0.749204232432901,-0.988050391378728,1.25,3.86,1.2,1
"Men","25-30 y.","Leader",1,1,3,5,4,5,5,2,5,-1.16699713679215,1.49307165327892,-0.397431441042809,1.25,2.71,1.4,1.5
"Men","20-25 y.","Leader",1,2,4,5,5,5,5,2,4,-0.932244714352417,1.74102688166481,-0.102121079945539,1.5,1.86,1.6,1.75
"Men","25-30 y.","Leader",4,2,4,5,5,5,5,2,4,-0.227987447033221,1.49307165327892,0.193189281151732,1.88,2.43,2,2
"Female","20-25 y.","Leader",2,2,3,4,4,5,5,3,5,0.476269820285975,0.00533854727521981,-0.102121079945539,1.63,3,1.8,1.75
"Female","20-25 y.","Leader",1,2,4,5,4,5,3,2,5,-0.227987447033221,1.49307165327892,-0.988050391378728,1.38,3.14,1,1.75
"Female","25-30 y.","Leader",2,2,3,4,4,5,5,3,5,-0.227987447033221,-0.738527137882462,-0.397431441042809,1.13,2.29,1.6,2
"Female","<20 y.","Leader",1,1,4,5,5,5,5,3,4,-0.932244714352417,1.24511642489302,0.48849787039038,2.38,2.14,1.4,1.75
"Men","20-25 y.","Leader",1,4,4,5,5,5,4,3,4,-0.462739869472953,0.00533854727521981,-0.102121079945539,1.38,2.71,1,2
"Female","20-25 y.","Leader",1,2,3,5,5,5,5,2,5,-0.932244714352417,0.501249004047008,-0.692740030281457,1.25,3.57,1,1
"Men","25-30 y.","Leader",1,1,3,5,5,5,5,3,5,-1.16699713679215,-0.242616681110674,-0.988050391378728,1.38,3.29,1,1
"Men",">30 y.","Leader",1,2,1,5,4,5,5,2,5,-1.16699713679215,0.99716119650713,-0.988050391378728,1.13,4,1,1
"Men","25-30 y.","Leader",2,2,3,4,5,5,5,3,4,-0.227987447033221,0.00533854727521981,-0.397431441042809,1.75,2.71,1.4,2
"Female","20-25 y.","Leader",1,2,4,5,4,5,5,2,4,-0.697492291912685,0.99716119650713,0.193189281151732,1.88,2.86,1.2,2
"Men","20-25 y.","Leader",2,3,4,5,5,5,5,3,4,-1.16699713679215,1.24511642489302,-0.397431441042809,2.13,2.43,1.6,1.75
"Men","20-25 y.","Leader",1,1,2,5,5,5,5,4,5,-1.40174955923188,-0.490571909496568,-0.988050391378728,1.63,1.71,1.4,1.5
"Men","<20 y.","Leader",1,1,2,5,5,5,5,4,5,-1.40174955923188,-0.490571909496568,-0.988050391378728,1.63,1.71,1.4,1.5
"Men","20-25 y.","Leader",1,2,4,5,5,5,5,2,4,-1.16699713679215,1.24511642489302,0.193189281151732,1.38,3.57,1,2
"Female","20-25 y.","Leader",2,1,3,5,4,4,5,3,5,-0.227987447033221,0.00533854727521981,-0.102121079945539,1.25,3,1.4,2
"Men","20-25 y.","Leader",2,3,2,4,5,4,4,3,4,0.241517397846243,-1.23443933034258,0.193189281151732,2.25,1.14,1.8,2.25
"Female","20-25 y.","Leader",2,3,3,5,4,3,3,3,3,-0.227987447033221,-0.490571909496568,2.55566685435403,3,2,3,3.25
"Men","<20 y.","Leader",2,2,3,4,3,5,5,4,4,0.00676497540651112,0.00533854727521981,0.193189281151732,1.38,3.14,1.6,2.25
"Men","20-25 y.","Leader",1,2,3,5,4,4,5,3,5,-0.697492291912685,-0.242616681110674,0.193189281151732,1.88,3,1,1.25
"Female","25-30 y.","Leader",1,1,3,5,5,5,4,3,4,-0.227987447033221,-0.242616681110674,-0.102121079945539,1.88,2.14,1.4,2
"Female","<20 y.","Leader",1,4,4,5,5,4,5,2,5,-0.932244714352417,0.99716119650713,0.193189281151732,1,3.71,1,1.5
"Men","20-25 y.","Leader",1,2,4,5,5,4,5,2,5,-0.932244714352417,1.74102688166481,0.193189281151732,2,2,1.4,2.25
"Female","25-30 y.","Leader",1,2,4,5,5,4,5,2,4,-1.16699713679215,1.74102688166481,-0.397431441042809,1,3.57,1,1.25
"Men","25-30 y.","Leader",2,3,1,4,5,4,4,3,5,0.00676497540651112,-0.986484101956691,0.193189281151732,1.5,2.57,1.6,2.25
"Female","20-25 y.","Leader",1,3,3,5,5,4,5,2,4,-0.697492291912685,1.49307165327892,1.07911859258492,1.88,3,1.4,1.75
"Men","20-25 y.","Leader",2,3,2,4,4,4,3,3,3,0.711022242725707,-0.242616681110674,1.66973754292084,1,3.14,1.2,1
"Men","25-30 y.","Leader",1,2,4,5,5,4,5,3,4,-1.16699713679215,1.49307165327892,-0.102121079945539,1.13,2.71,1,1.5
"Female","20-25 y.","Leader",2,2,3,4,5,4,4,3,4,0.476269820285975,0.00533854727521981,0.193189281151732,2,2,1.4,2
"Men","25-30 y.","Leader",1,2,3,5,4,5,5,3,5,-0.697492291912685,0.99716119650713,-0.692740030281457,1.25,2.71,1.4,1.75
"Female","20-25 y.","Leader",1,2,3,5,5,5,5,3,5,-1.16699713679215,-0.242616681110674,-0.988050391378728,1.38,3,1,1
"Female","20-25 y.","Leader",1,2,3,5,4,5,5,3,4,-0.697492291912685,0.501249004047008,0.783808231487651,1.5,3.29,1.2,1.5
"Female","25-30 y.","Leader",1,2,3,5,3,4,4,2,4,0.00676497540651112,0.501249004047008,0.783808231487651,1.63,3.14,1.8,1.75
"Female","25-30 y.","Leader",1,2,3,5,4,5,5,3,4,-0.227987447033221,0.253293775661113,0.48849787039038,2.38,2.43,1.6,1.5
"Female","20-25 y.","Leader",1,2,3,4,5,5,5,3,5,-0.462739869472953,-0.490571909496568,-0.397431441042809,1.88,3.29,1,1.25
"Female","20-25 y.","Leader",2,2,3,4,4,5,4,3,4,0.241517397846243,0.253293775661113,0.193189281151732,1.25,2.86,1.6,1.75
"Men","20-25 y.","Leader",2,3,4,5,5,5,4,3,5,-1.16699713679215,0.253293775661113,-0.692740030281457,1.63,3,1,1.5
"Female","20-25 y.","Leader",1,1,2,4,4,5,5,4,5,-0.227987447033221,-0.490571909496568,-0.692740030281457,3,1.71,1.8,2.5
"Men","20-25 y.","Leader",2,3,3,4,4,4,3,2,3,1.4152795100449,-0.986484101956691,1.07911859258492,2.5,1.86,2.4,2.75
"Female","20-25 y.","Leader",2,2,3,5,4,5,5,3,5,0.945774665165439,0.00533854727521981,-0.102121079945539,1.88,2.86,1.4,2
"Men","25-30 y.","Leader",2,2,3,5,3,4,5,2,4,-0.462739869472953,0.00533854727521981,1.07911859258492,1.38,2.57,2.4,2
"Men","25-30 y.","Leader",2,3,3,4,4,5,4,3,5,0.476269820285975,0.00533854727521981,0.48849787039038,2.25,2.14,2.2,1.75
"Men","25-30 y.","Leader",2,2,3,5,5,4,4,3,5,-0.697492291912685,0.253293775661113,-0.397431441042809,1.38,2.71,1.2,1.75
"Men","<20 y.","Leader",2,2,2,5,4,5,5,3,4,-0.462739869472953,-0.490571909496568,0.783808231487651,2.38,2.29,1,2.25
"Female","20-25 y.","Leader",1,1,4,5,5,5,4,2,5,-1.40174955923188,1.74102688166481,-0.692740030281457,1.25,3.86,1,1.25
"Men","<20 y.","Leader",1,2,3,5,5,5,5,2,5,-1.40174955923188,0.00533854727521981,-0.397431441042809,1.25,3.57,1,1
"Men","<20 y.","Leader",2,1,3,5,4,4,4,3,4,-0.227987447033221,-0.242616681110674,0.783808231487651,2.25,2.29,2,3
"Men","25-30 y.","Leader",1,2,4,5,5,5,5,3,5,-0.462739869472953,1.49307165327892,-0.397431441042809,1,3.71,1,1.75
"Men","25-30 y.","Leader",3,2,3,4,5,4,4,3,4,0.00676497540651112,-0.242616681110674,0.783808231487651,2.5,2,1.8,3
"Men",">30 y.","Leader",2,1,4,5,5,5,5,2,5,-0.462739869472953,0.501249004047008,-0.102121079945539,2.75,2.71,1.8,3
"Men","25-30 y.","Leader",1,1,4,5,5,4,5,2,4,-0.932244714352417,0.99716119650713,-0.102121079945539,1.38,3.86,1,2
"Female","25-30 y.","Leader",2,1,4,4,4,4,5,3,5,0.241517397846243,0.253293775661113,0.48849787039038,1.5,3.71,1,2
"Men",">30 y.","Leader",2,2,3,5,5,4,4,3,4,0.476269820285975,-0.242616681110674,0.193189281151732,1.88,2.14,2.2,2.75
"Female","25-30 y.","Leader",1,2,4,5,4,5,5,3,5,-0.697492291912685,0.253293775661113,0.193189281151732,1.63,2.86,1.4,2.25
"Female","20-25 y.","Leader",1,1,3,5,3,5,5,3,4,0.945774665165439,0.253293775661113,1.07911859258492,3.5,2.14,2.6,3
"Female","25-30 y.","Leader",2,3,3,3,4,4,4,3,5,0.945774665165439,-0.242616681110674,-0.102121079945539,1.5,3,1.2,1.75
"Men","20-25 y.","Leader",1,2,4,5,4,4,5,2,5,-0.932244714352417,1.24511642489302,0.193189281151732,1.63,3.29,1,1.75
"Female",">30 y.","Leader",1,2,3,4,5,2,4,3,5,-1.16699713679215,0.501249004047008,-0.102121079945539,1.75,3.57,1,1
"Men",">30 y.","Leader",4,1,3,5,4,5,2,2,5,-0.697492291912685,0.253293775661113,-0.692740030281457,1.63,3.14,1.6,1.5
"Men",">30 y.","Leader",1,2,3,5,5,4,5,3,4,-0.462739869472953,0.749204232432901,-0.397431441042809,1.38,3,1.4,1.75
"Men",">30 y.","Leader",1,1,3,5,4,5,5,2,5,-1.16699713679215,0.99716119650713,-0.397431441042809,1.25,3.43,1,1.75
"Men","20-25 y.","Leader",2,3,4,4,3,5,5,4,5,-0.227987447033221,0.00533854727521981,0.193189281151732,1.63,2.86,1.2,2
"Men","25-30 y.","Leader",1,2,3,5,5,5,5,2,5,-1.40174955923188,0.253293775661113,-0.692740030281457,1.75,2.29,1.6,1
"Men","20-25 y.","Leader",1,1,3,5,5,5,5,2,5,-1.40174955923188,0.749204232432901,-0.102121079945539,1.88,2.71,1,1.5
"Men",">30 y.","Leader",1,1,3,5,4,5,5,3,5,-0.697492291912685,0.253293775661113,-0.397431441042809,1.63,2.86,1,1
"Men",">30 y.","Employe",1,4,4,5,2,5,5,2,5,2.8237940446833,1.74102688166481,-0.988050391378728,2.13,4,1,2.5
"Female",">30 y.","Employe",1,1,4,5,5,5,3,3,3,1.4152795100449,1.49307165327892,1.96504790401811,3.25,1.86,3.2,3.75
"Female","20-25 y.","Employe",1,1,4,5,5,5,4,2,5,-0.932244714352417,1.24511642489302,-0.988050391378728,1.63,3,1.2,1.5
"Female",">30 y.","Employe",1,2,3,4,5,4,4,4,3,0.476269820285975,-0.738527137882462,1.37442718182357,2.25,2.57,2.6,2.75
"Female",">30 y.","Employe",3,3,3,3,3,3,3,3,3,2.8237940446833,0.253293775661113,2.8509772154513,3.5,3.71,3.8,3.75
